Jennifer Drake
Jean Valmont
Jeanine Forney
Jean Topart
Sylvie Lenoir
William Coryn
Gérard Hernandez
Yves Barsacq
Éric Baugin
Philippe Ogouz
Irina Tarassov
Yvette Robin
Michèle Chahan
Madeleine Clervanne
Poupy de Monneron
Max Amyl
Denis Boileau
Hubert de Lapparent
Christian de Tillière
Christian Echelard
Claude Joseph
Pascal Kominakis
André Lambert
Mark Lesser
Serge Netter
André Rouyer
Jacques Ruisseau
Julien Thomast
Gilbert Vilhon
Paul Villé
