Russell Crowe
Joaquin Phoenix
Connie Nielsen
Oliver Reed
Richard Harris
Derek Jacobi
Djimon Hounsou
David Schofield
John Shrapnel
Tomas Arana
Ralf Moeller
Tommy Flanagan
Spencer Treat Clark
David Hemmings
Sven-Ole Thorsen
Giannina Facio
Alun Raglan
Giorgio Cantarini
David Bailie
Omid Djalili
Nicholas McGaughey
Tony Curran
Mark Lewis
John Quinn
Al Hunter Ashton
Allan Corduner
Michael Mellinger
Said Amel
Adam Levy
Gilly Gilchrist
David Nicholls
Malcolm Ellul
Ray Mangion
João Costa Menezes
Mike Mitchell
Norman Campbell Rees
Steve Saunders
Brian Smyj
Chick Allen
Billy Dowd
