Tatsuya Nakadai
Akira Ishihama
Shima Iwashita
Tetsurō Tamba
Masao Mishima
Ichirô Nakatani
Kei Satō
Yoshio Inaba
Hisashi Igawa
Tōru Takeuchi
Yoshirô Aoki
Tatsuo Matsumura
Akiji Kobayashi
Kôichi Hayashi
Ryûtarô Gomi
Jo Azumi
Nakajirô Tomita
Shichisaburo Amatsu
Kenzô Tanaka
Shin Nakahara
Tsuneo Ikeda
Minoru Miyagi
Takaaki Kadota
Ichiro Yamamoto
Gen Takasugi
Satoshi Nishida
Tetsuro Komiyama
Shûichirô Narita
Noboru Kasuga
Shinpachi Kura
Kenji Hayashi
Shôtarô Hayashi
Shimezo Kataoka
Bunya Ozawa
Konosuke Takemoto
Rentaro Mikuni
