Daniel Radcliffe
Rupert Grint
Emma Watson
Richard Griffiths
Fiona Shaw
Harry Melling
Toby Jones
Jim Norton
Veronica Clifford
James Phelps
Oliver Phelps
Julie Walters
Bonnie Wright
Mark Williams
Chris Rankin
Tom Felton
Jason Isaacs
Edward Tudor-Pole
Jenny Tarren
Robbie Coltrane
Tom Knight
Heather Bleasdale
Isabella Columbus
Kenneth Branagh
Peter O'Farrell
Ben Borowiecki
Harry Taylor
Matthew Lewis
Devon Murray
David Bradley
Alan Rickman
Richard Harris
Maggie Smith
Jamie Waylett
Josh Herdman
Miriam Margolyes
Gemma Padley
John Cleese
Hugh Mitchell
Alfred Enoch
Eleanor Columbus
Sean Biggerstaff
Rochelle Douglas
Emily Dale
Danielle Tabor
Jamie Yeates
Warwick Davis
Violet Columbus
Peter Taylor
Luke Youngblood
Scot Fearn
David Holmes
David Massam
Tony Christian
David Churchyard
Gemma Jones
Shirley Henderson
Edward Randell
Sally Mortemore
Louis Doyle
Charlotte Skeoch
Brendan Columbus
Robert Ayres
Alfred Burke
Leslie Phillips
Helen Stuart
Daisy Bates
David Tysall
Christian Coulson
Martin Bayfield
Robert Hardy
Julian Glover
Les Bubb
