Daniel Radcliffe
Rupert Grint
Emma Watson
Tom Felton
Michael Gambon
Jim Broadbent
Alan Rickman
Helena Bonham Carter
Robbie Coltrane
Maggie Smith
Timothy Spall
David Thewlis
Julie Walters
Matthew Lewis
Evanna Lynch
Bonnie Wright
Oliver Phelps
James Phelps
Mark Williams
Warwick Davis
Natalia Tena
Katie Leung
Dave Legeno
Geraldine Somerville
Helen McCrory
Freddie Stroma
David Bradley
Frank Dillane
Hero Fiennes Tiffin
Gemma Jones
Afshan Azad
Shefali Chowdhury
Georgina Leonidas
Devon Murray
Anna Shaffer
Josh Herdman
Jamie Waylett
Scarlett Byrne
Jessie Cave
Louis Cordice
Alfred Enoch
Robert Knox
William Melling
Paul Ritter
Isabella Laughland
Ralph Ineson
Suzanne Toase
Rod Hunt
Elarica Johnson
Ralph Fiennes
Nathan Clarke
Olivia Jewson
Caroline Wildi
