Daniel Radcliffe
Rupert Grint
Emma Watson
Michael Gambon
Ralph Fiennes
Tom Felton
Alan Rickman
Robbie Coltrane
Maggie Smith
Helena Bonham Carter
Brendan Gleeson
Gary Oldman
Jason Isaacs
Imelda Staunton
Matthew Lewis
Bonnie Wright
James Phelps
Oliver Phelps
Evanna Lynch
Richard Griffiths
Fiona Shaw
Robert Hardy
Emma Thompson
Julie Walters
David Thewlis
Natalia Tena
Harry Melling
David Bradley
Mark Williams
Katie Leung
Chris Rankin
Devon Murray
Alfred Enoch
Warwick Davis
Jamie Waylett
Josh Herdman
Shefali Chowdhury
Afshan Azad
Geraldine Somerville
Adrian Rawlins
Kathryn Hunter
George Harris
Peter Cartwright
Brigitte Millar
Sian Thomas
Apple Brook
William Melling
Jim McManus
Nick Shirm
Ryan Nelson
Sam Beazley
John Atterbury
Richard Leaf
Timothy Spall
Lauren Shotton
Nicholas Blane
Jason Boyd
Richard Macklin
Christopher Rithin
Tony Maudsley
Timothy Bateson
Jessica Hynes
Michael Wildman
Jason Piper
Arben Bajraktaraj
Peter Best
Richard Trinder
Richard Cubison
Tav MacDougall
Alec Hopkins
Robbie Jarvis
James Walters
Charles Hughes
James Utechin
James Payton
Lisa Wood
Cliff Lanning
Miles Jupp
Jamie Wolpert
Daisy Haggard
Nathan Clarke
