Daniel Radcliffe
Rupert Grint
Emma Watson
Gary Oldman
Alan Rickman
David Thewlis
Tom Felton
Michael Gambon
Robbie Coltrane
Emma Thompson
Maggie Smith
Bonnie Wright
James Phelps
Oliver Phelps
Timothy Spall
Matthew Lewis
David Bradley
Julie Walters
Mark Williams
Richard Griffiths
Fiona Shaw
Harry Melling
Alfred Enoch
Devon Murray
Jamie Waylett
Josh Herdman
Chris Rankin
Robert Hardy
Pam Ferris
Warwick Davis
Dawn French
Lee Ingleby
Lenny Henry
Genevieve Gaunt
Sitara Shah
Danielle Tabor
Bronson Webb
Jim Tavaré
Ekow Quartey
Jimmy Gardner
Julie Christie
Paul Whitehouse
Geraldine Somerville
Adrian Rawlins
Jennifer Smith
Peter Best
Marianne Chase
Samantha Clinch
Kandice Morris
Lewis Barnshaw
Violet Columbus
Ian Brown
