James Stewart
Josephine Hull
Charles Drake
Peggy Dow
Victoria Horne
Jesse White
Cecil Kellaway
William H. Lynn
Dick Wessel
Harry Hines
Grayce Mills
Norman Leavitt
Minerva Urecal
Clem Bevans
Nana Bryant
Wallace Ford
Harvey
Don Brodie
Aileen Carlyle
Polly Bailey
Sally Corner
Eula Guy
Sam Wolfe
Grayce Hampton
Maudie Prickett
Edwin Max
Anne O'Neal
Almira Sessions
Pat Flaherty
Ruthelma Stevens
Fess Parker
Leo Sulky
Gino Corrado
Charles Perry
