Toshirō Mifune
Tatsuya Nakadai
Kyōko Kagawa
Tatsuya Mihashi
Isao Kimura
Kenjirō Ishiyama
Takeshi Katō
Takashi Shimura
Jun Tazaki
Nobuo Nakamura
Yūnosuke Itō
Tsutomu Yamazaki
Minoru Chiaki
Eijirō Tōno
Masao Shimizu
Yutaka Sada
Masahiko Shimazu
Toshio Egi
Kōji Mitsui
Kyū Sazanka
Susumu Fujita
Kamatari Fujiwara
Yoshio Tsuchiya
Kazuo Kitamura
Gen Shimizu
Akira Nagoya
Jun Hamamura
Masao Oda
Kō Nishimura
Yoshifumi Tajima
Koji Kiyomura
Hiroshi Unayama
Yoshisuke Makino
Jun Kondô
Tomo Suzuki
Senkichi Ômura
Kazuo Katô
Ikio Sawamura
Kin Sugai
Keiko Tomita
Isao Onoda
Seiichi Taguchi
Takeo Matsushita
Kiyoshi Yamamoto
Kenji Kodama
Minoru Itô
Haruo Suzuki
Kôzô Nomura
