Simon Pegg
Nick Frost
Jim Broadbent
Paddy Considine
Rafe Spall
Kevin Eldon
Olivia Colman
Bill Bailey
Karl Johnson
Timothy Dalton
Edward Woodward
Billie Whitelaw
Eric Mason
Stuart Wilson
Paul Freeman
Rory McCann
Kenneth Cranham
Maria Charles
Peter Wight
Julia Deakin
Trevor Nichols
Elizabeth Elvin
Patricia Franklin
Lorraine Hilton
Tim Barlow
Anne Reid
Ben McKay
Adam Buxton
David Threlfall
Lucy Punch
David Bradley
Ron Cook
Stephen Merchant
Alice Lowe
Martin Freeman
Steve Coogan
Bill Nighy
Peter Jackson
Cate Blanchett
Garth Jennings
Edgar Wright
Robert Popper
Joe Cornish
Chris Waitt
Colin Michael Carmichael
