Sean Penn
Michelle Pfeiffer
Dianne Wiest
Dakota Fanning
Richard Schiff
Loretta Devine
Marin Hinkle
Laura Dern
Brad Silverman
Joseph Rosenberg
Stanley DeSantis
Doug Hutchison
Bobby Cooper
Mary Steenburgen
Eileen Ryan
Michael B. Silver
Rosalind Chao
Ken Jenkins
Wendy Phillips
Mason Lucero
Scott Paulin
Kit McDonough
Kimberly Scott
Chase MacKenzie Bebak
Rafer Weigel
Emiko Parise
Pamela Dunlap
Brent Spiner
David Nathan Schwartz
Kathleen Robertson
Karen Bankhead
Janet Adderley
Katie McGloin
Steven Maines
Dennis Fanning
David Poynter
R.D. Call
Elle Fanning
Russ Fega
Molly Gordon
