Takashi Shimura
Haruo Tanaka
Nobuo Kaneko
Bokuzen Hidari
Miki Odagiri
Shinichi Himori
Minoru Chiaki
Minosuke Yamada
Kamatari Fujiwara
Makoto Kobori
Nobuo Nakamura
Atsushi Watanabe
Isao Kimura
Masao Shimizu
Yūnosuke Itō
Yoshie Minami
Kumeko Urabe
Eiko Miyoshi
Noriko Honma
Yatsuko Tan'ami
Kin Sugai
Kyôko Seki
Kusuo Abe
Tomo'o Nagai
Seiji Miyaguchi
Daisuke Katō
Hiroshi Hayashi
Fuyuki Murakami
Hirayoshi Aono
Toranosuke Ogawa
Akira Sera
Ichirô Chiba
Akira Tani
Yôyô Kojima
Toshiyuki Ichimura
Harue Kuramoto
Rasa Saya
Taizō Fukami
Tateo Kawasaki
Keiichirô Katsumoto
Haruko Toyama
Sachio Sakai
Shôichi Hirose
Kôji Uno
Yaeko Izumo
Jirô Mitsuaki
Sôkichi Maki
Haruo Suzuki
Takeo Nagashima
Kazuo Imai
Shigeo Katô
Hiroshi Akitsu
Ippei Kawagoe
Mitsuo Tsuda
Keiji Sakakida
Takuzō Kumagai
Tsuneo Katagiri
Junpei Natsuki
Hiroshi Koizumi
Jun'ichirō Mukai
Sōjirō Motoki
Kyōko Aoyama
