Brad Pitt
Mélanie Laurent
Christoph Waltz
Eli Roth
Michael Fassbender
Diane Kruger
Daniel Brühl
Til Schweiger
Gedeon Burkhard
Jacky Ido
B.J. Novak
Omar Doom
August Diehl
Denis Ménochet
Sylvester Groth
Martin Wuttke
Mike Myers
Julie Dreyfus
Léa Seydoux
Richard Sammel
Alexander Fehling
Rod Taylor
Samm Levine
Paul Rust
Michael Bacall
Arndt Schwering-Sohnrey
Petra Hartung
Volker Michalowski
Ken Duken
Christian Berkel
Tina Rodriguez
Lena Friedrich
Ludger Pistor
Jana Pallaske
Wolfgang Lindner
Michael Kranz
Rainer Bock
André Penvern
Sebastian Hülk
Buddy Joe Hooker
Sönke Möhring
Carlos Fidel
Hilmar Eichhorn
Patrick Elias
Eva Löbau
Salvadore Brandt
Jasper Linnewedel
Wilfried Hochholdinger
Olivier Girard
Michael Scheel
Leo Plank
Andreas Tietz
Bo Svenson
Enzo G. Castellari
Christian Brückner
Samuel L. Jackson
Bela B
Noemi Besedes
Hélène Cardona
Jake Garber
Sabrina Rattey
Alex Boden
Guido Föhrweißer
Harvey Keitel
Andrew Napier
Gregory Nicotero
Quentin Tarantino
Vitus Wieser
Bea-Marie Rück
Daniela Schwerdt
