Spencer Tracy
Fredric March
Gene Kelly
Dick York
Donna Anderson
Harry Morgan
Claude Akins
Elliott Reid
Paul Hartman
Philip Coolidge
Jimmy Boyd
Noah Beery Jr.
Norman Fell
Hope Summers
Ray Teal
Renee Godfrey
Florence Eldridge
Leon Alton
Frank Baker
Ralph Bucko
Sam Harris
Shep Houghton
Hans Moebus
'Snub' Pollard
Robert Robinson
Eddie Baker
Adolph Faylauer
Bob Perry
Waclaw Rekwart
Stephen Soldi
Rudy Sooter
Gail Bonney
Jack Daly
Lester Dorr
Donald Elson
Colin Kenny
Frank Mills
Joe Ploski
Scott Seaton
Bert Stevens
Harry Tenbrook
David Fresco
Stuart Hall
Joseph Hamilton
Earle Hodgins
Wendell Holmes
Thomas Martin
Harp McGuire
Robert Osterloh
Leoda Richards
Hal Taggart
Charles Wagenheim
Justice Watson
Will Wright
Duke Fishman
Dick Cherney
Hank Mann
Brandon Beach
