Jason Flemyng
Arnold Schwarzenegger
Charles Dance
Jackie Chan
Yao Xing-Tong
Christopher Fairbank
Rutger Hauer
Martin Klebba
Yuri Kolokolnikov
Pavel Volya
Anna Churina
Vilen Babichev
Mikhail Mukhin
Alexandr Tsema
Aleksey Ogurtsov
Igor Jijikine
Vladimir Dolinskiy
Igor Ogurtsov
Andrey Merzlikin
Aleksandr Oblasov
Gennady Gorbachev
Anton Tuzikov
Yakov Levda
Mark Luu
Charles Luu
Lance Luu
Aleksandr Robak
Nikita Tarasov
Igor Kistol
Igor Korovin
Kseniya Petrukhina
Ma Li
Alexey A. Petrukhin
Ivan Kotik
Ruslan Bankovskiy
He Jun
Alexandr Kovtunets
Li Mengmeng
Aleksandr Gorbatov
Yu Li
Nikita Minyaychev
Dmitry Kropivnitsky
Sergey Lobanov
Victor Sharovarov
Gleb Ivanov
Vladimir Danay
Maxim Shishov
Evgeniya Shipova
