Spencer Tracy
Burt Lancaster
Richard Widmark
Marlene Dietrich
Maximilian Schell
Judy Garland
Montgomery Clift
William Shatner
Werner Klemperer
Kenneth MacKenna
Torben Meyer
Joseph Bernard
Alan Baxter
Edward Binns
Virginia Christine
Otto Waldis
Karl Swenson
Martin Brandt
Ray Teal
John Wengraf
Ben Wright
Howard Caine
Olga Fabian
Paul Busch
Bernard Kates
Bess Flowers
Frank Baker
Brandon Beach
Joseph Crehan
Sayre Dearing
Sam Harris
Shep Houghton
Reed Howes
William Meader
Colin Kenny
George Nardelli
Waclaw Rekwart
Jack Stoney
Oscar Beregi Jr.
Norbert Schiller
Chet Brandenburg
Herman Hack
Sheila Bromley
Harold Miller
Hans Moebus
Ed Nelson
William H. O'Brien
Rudy Solari
Bert Stevens
Hal Taggart
Jana Taylor
Ralph Moratz
Tony Regan
Dick Cherney
Norman Stevans
