Tatsuya Nakadai
Tsutomu Yamazaki
Kenichi Hagiwara
Jinpachi Nezu
Hideji Ôtaki
Daisuke Ryû
Masayuki Yui
Kaori Momoi
Mitsuko Baisho
Hideo Murota
Takayuki Shiho
Kôji Shimizu
Noboru Shimizu
Sen Yamamoto
Shuhei Sugimori
Kota Yui
Yasuhito Yamanaka
Kumeko Otowa
Tetsuo Yamashita
Kai Atō
Takashi Ebata
Yu Shimaka
Toshiaki Tanabe
Naruhito Iguchi
Yoshimitsu Yamaguchi
Eiichi Kanakubo
Akihiko Sugizaki
Yugo Miyazaki
Masatsugu Kuriyama
Norio Matsui
Jirô Chiba
Yasushi Doshida
Takashi Watanabe
Toku Sone
Toshiya Ito
Francis Selleck
Morihiro Yanase
Alexander Kairis
Toshimitsu Kato
Paul Okawa
Toshihiko Shimizu
Senkichi Ômura
Takashi Shimura
Kamatari Fujiwara
