Gene Tierney
Dana Andrews
Clifton Webb
Vincent Price
Judith Anderson
Grant Mitchell
Dorothy Adams
Wally Albright
Bobby Barber
Harry Carter
Lane Chandler
Dorothy Christy
James Conaty
Ralph Dunn
Jean Fenwick
Clyde Fillmore
James Flavin
Bess Flowers
Lee Tung Foo
William Forrest
Frances Gladwin
William Graeff Jr.
Beatrice Gray
Sam Harris
Kathleen Howard
Yolanda Lacca
Frank LaRue
Kay Linaker
Gloria Marlen
Thomas Martin
Buster Miles
Harold Miller
Forbes Murray
Jane Nigh
Aileen Pringle
Cyril Ring
Alexander Sascha
Harold Schlickenmayer
Larry Steers
Harry Strang
Ben Watson
Cara Williams
Eric Wilton
