Woody Allen
Diane Keaton
Harold Gould
Olga Georges-Picot
Zvee Scooler
Despo Diamantidou
Sol Frieder
Jessica Harper
Lloyd Battista
Alfred Lutter
Georges Adet
Frank Adu
Edmond Ardisson
Féodor Atkine
Albert Augier
Yves Barsacq
Jack Bérard
Eva Betrand
George Birt
Yves Brainville
Gérard Buhr
Brian Coburn
Henri Coutet
Patricia Crown
Henri Czarniak
Sandor Elès
Luce Fabiole
Florian
Jacqueline Fogt
Harry Hankin
Tony Jay
Tutte Lemkow
Jack Lenoir
Leib Lensky
Anne Lonnberg
Roger Lumont
Edward Marcus
Jacques Maury
Narcissa McKinley
Aubrey Morris
Denise Péron
Beth Porter
Alan Rossett
Shimen Ruskin
Percival Russel
Chris Sanders
C.A.R. Smith
Fred Smith
Bernard Taylor
Clément Thierry
Alan Tilvern
James Tolkan
Hélène Vallier
Howard Vernon
Glenn Williams
Jacob Witkin
