Douglas Booth
Eleanor Tomlinson
Robert Gulaczyk
Helen McCrory
Saoirse Ronan
Chris O'Dowd
John Sessions
Jerome Flynn
Aidan Turner
Holly Earl
Cezary Łukaszewicz
Martin Herdman
James Greene
Bill Thomas
Josh Burdett
Robin Hodges
Carole Le Clanche
Graham Pavey
Shaun Newnham
Joe Stuckey
Piotr Pamula
Bozena Berlinska-Bryzek
Anastazja Seweryn
Borys Dominiuk
Bartlomiej Sroka
Kamila Dyoubari
Przemyslaw Furdak
Adam Pabudzinski
Keith Heppenstall
Nina Supranionek
Marcin Sosinski
