James Wilby
Hugh Grant
Rupert Graves
Denholm Elliott
Simon Callow
Billie Whitelaw
Barry Foster
Judy Parfitt
Phoebe Nicholls
Ben Kingsley
Julian Wadham
Patrick Godfrey
Mark Tandy
Matthew Sim
Kitty Aldridge
Helena Michell
Catherine Rabett
Peter Eyre
Michael Jenn
Mark Payton
Maria Britneva
Helena Bonham Carter
Serena Gordon
Harriet Thorpe
Breffni McKenna
Orlando Wells
John Elmes
Philip Fox
Phillada Sewell
Richard Warner
Olwen Griffiths
Christopher Hunter
Arthur Whybrow
Miles Richardson
Jean-Marc Barr
Alan Foss
