Jon Voight
Dustin Hoffman
Sylvia Miles
John McGiver
Brenda Vaccaro
Barnard Hughes
Ruth White
Jennifer Salt
Georgann Johnson
Bob Balaban
M. Emmet Walsh
Randall Carver
Anthony Holland
Bill Walters
Marlene Clark
Viva
Paul Benjamin
Mary Boylan
Gilman Rankin
T. Tom Marlow
George Eppersen
Jan Tice
Al Scott
Linda Davis
Arlene Reeder
Jonathan Kramer
Arthur Anderson
Tina Scala
Alma Felix
Richard Clarke
Ann Thomas
Paul Rossilli
Ultra Violet
Taylor Mead
Paul Morrissey
Paul Jabara
International Velvet
Cecelia Lipson
Joan Murphy
Al Stetson
Pat Ast
Robert Dahdah
Trent Gough
Barbara Maggio
Jay Morran
Renee Semes
Jeffrey Walker
Waldo Salt
Paul Jasmin
