Charlie Chaplin
Mady Correll
Allison Roddan
Robert Lewis
Audrey Betz
Martha Raye
Ada May
Isobel Elsom
Marjorie Bennett
Helene Heigh
Margaret Hoffman
Marilyn Nash
Irving Bacon
Edwin Mills
Virginia Brissac
Almira Sessions
Eula Morgan
Bernard Nedell
Charles Evans
William Frawley
Arthur Hohl
Barbara Slater
Fritz Leiber
Vera Marshe
John Harmon
Richard Abbott
Warren Ashe
Gertrude Astor
Wilbur Mack
Barry Norton
Edna Purviance
Herbert Evans
Ralph Brooks
Wheaton Chambers
James Craven
Joseph Crehan
Bert Stevens
Albert D'Arno
George Dee
Carlo Schipa
Ralph Montgomery
Cyril Delevanti
Wheeler Dryden
Elspeth Dudgeon
Ella Ethridge
Franklyn Farnum
Joseph Granby
Boyd Irwin
Pierre Watkin
Colin Kenny
Bert LeBaron
Ruth Lee
Carl M. Leviness
Therese Lyon
Lester Matthews
Harold Miller
Paul Newlan
Albert Petit
Frank Reicher
Addison Richards
Charles Wagenheim
Suzanne Ridgeway
Jeffrey Sayre
William Self
C. Montague Shaw
Nanette Vallon
Herb Vigran
