Jean Arthur
James Stewart
Claude Rains
Edward Arnold
Guy Kibbee
Thomas Mitchell
Eugene Pallette
Beulah Bondi
H.B. Warner
Harry Carey
Astrid Allwyn
Ruth Donnelly
Grant Mitchell
Porter Hall
Pierre Watkin
Charles Lane
William Demarest
Dick Elliott
Billy Watson
Delmar Watson
John Russell
Harry Watson
Garry Watson
Larry Simms
H.V. Kaltenborn
Russell Simpson
Frances Gifford
Colin James Mackey
Wilson Benge
Dickie Jones
Erville Alderson
Frank Puglia
Maurice Cass
Stanley Andrews
Al Bridge
Edwin August
Edmund Cobb
Sam Ash
Harry A. Bailey
Stanley Mack
Brooks Benedict
Wade Boteler
Dorothy Comingore
Chester Conklin
Gino Corrado
Ann Doran
Robert Emmett Keane
Matt McHugh
Kathryn Bates
Frank Austin
William Arnold
Tommy Baker
Robert Sterling
Dub Taylor
George Chandler
Fred 'Snowflake' Toones
Jack Carson
Tommy Bupp
Dora Clement
Bert Moorhouse
Harry C. Bradley
Lynton Brent
Ed Brewer
Harlan Briggs
Harry Burkhardt
Frederick Burton
Georgia Caine
Ken Carpenter
Burr Caruth
Allan Cavan
Eddy Chandler
Davison Clark
Richard Clucas
Shirley Coates
Eddie Coke
Hal Cooke
Alec Craig
Anne Cornwall
George Cooper
Georgie Cooper
Jack Cooper
Nick Copeland
Vernon Dent
Maurice Costello
Beatrice Curtis
Lew Davis
Dulcie Day
Wally Dean
Harry Depp
Byron Foulger
Helen Jerome Eddy
Douglas Evans
Joe Devlin
Clyde Dilson
John Dilson
Neal Dodd
Lester Dorr
Robert Dudley
Edward Earle
Jack Egan
Eddie Fetherston
Mabel Forrest
Gladys Gale
Jack Gardner
Mary Gordon
June Gittelson
Lorna Gray
Harry Hayden
Louis Jean Heydt
John Ince
Frank Jaquet
Philo McCullough
Wright Kramer
Henry Hebert
Fred Hoose
Richard Kipling
Roger Haliday
Wilfred Hari
Philip Hurlic
Olaf Hytten
Lloyd Ingraham
Mitchell Ingraham
Dick Jensen
John Lester Johnson
Eddie Kane
Donald Kerr
Milton Kibbee
Joe King
Evalyn Knapp
Paul Kruger
Bobby Larson
Billy Lechner
Jackie Lowe
P.H. Levy
Vera Lewis
Jack Lindquist
George Lloyd
Arthur Loft
Jack Low
Jimmie Lucas
Mary MacLaren
Hank Mann
Margaret Mann
Eric Mayne
Ralph McCullough
George McKay
Lafe McKee
Ben Taggart
Field Norton
Wilfred Lucas
Sammy McKim
James McNamara
William Newell
Robert Middlemass
James Millican
Howard M. Mitchell
Charles R. Moore
Gene Morgan
Robert Morgan
Ray Nichols
Alex Novinsky
Frank O'Connor
Frank Otto
Joe Palma
Spencer Quinn
Tom Quinn
Ed Randolph
Charles Regan
Jack Rice
Wyndham Standing
Ferris Taylor
Jack Richardson
Walter Soderling
Harry Stafford
Victor Travis
Carl Stockdale
Robert Walker
Henry Roquemore
Craig Stevens
Paul Stanton
Johnny Russell
Walter Sande
Frank M. Thomas
Harry Strang
Harry Tenbrook
Dave Willock
Lloyd Whitlock
John Tyrrell
Frederick Vroom
Charles Sullivan
Arthur Thalasso
Edward Thomas
Laura Treadwell
Layne Tom Jr.
Myonne Walsh
Billy Wayne
Max Waizmann
John Ward
Jane Loofbourrow
Blanche Payson
Emma Tansey
Bess Wade
Florence Wix
Eleanor Wood
Jesse Graves
Gus Glassmire
Larry Steers
Landers Stevens
William Worthington
Edward Biby
Count Stefenelli
David Wade
Frank McLure
