Ming-Na Wen
Eddie Murphy
BD Wong
Miguel Ferrer
Harvey Fierstein
Freda Foh Shen
June Foray
James Hong
Miriam Margolyes
Pat Morita
Marni Nixon
Soon-Tek Oh
Donny Osmond
Lea Salonga
James Shigeta
George Takei
Jerry Tondo
Gedde Watanabe
Frank Welker
Matthew Wilder
Tom Amundsen
Arminae Austen
Mary Kay Bergman
Susan Boyd
Julianne Buescher
Steve Bulen
Corey Burton
Mitch Carter
Robert Clotworthy
David Cowgill
Sally Dworsky
Beth Fowler
Donald Fullilove
Elisa Gabrielli
Jack Gilpin
Sandie Hall
Richard Steven Horvitz
Linda Kerns
Matthew Labyorteaux
Conan Lee
Dana Lee
Edie Lehmann Boddicker
Luisa Leschin
Christina Ma
Susan McBride
Haunani Minn
Edie Mirman
Mark Moseley
Patrick Pinney
Peter Renaday
Maurita L. Thornburgh
John Walcutt
Claudette Wells
Jack Angel
Jeff Bennett
Bob Bergen
Rodger Bumpass
George Dvorsky
Bill Farmer
Merwin Foard
Phil Proctor
Chris Sanders
