Henry Fonda
Linda Darnell
Victor Mature
Cathy Downs
Walter Brennan
Tim Holt
Ward Bond
Alan Mowbray
John Ireland
Roy Roberts
Jane Darwell
Grant Withers
J. Farrell MacDonald
Russell Simpson
Robert Adler
C.E. Anderson
Don Barclay
Hank Bell
Danny Borzage
Ruth Clifford
Frank Conlan
Tex Cooper
Jack Curtis
William B. Davidson
James Dime
Tex Driscoll
Frank Ellis
Francis Ford
Earle Foxe
Don Garner
Ben Hall
Aleth Hansen
Jack Kenny
Duke R. Lee
Fred Libby
Mae Marsh
Margarita Martín
Kermit Maynard
Louis Mercier
Jack Montgomery
Jack Pennick
Mickey Simpson
Charles Stevens
Arthur Walsh
Harry Woods
