Greta Garbo
Melvyn Douglas
Ina Claire
Bela Lugosi
Sig Ruman
Felix Bressart
Alexander Granach
Gregory Gaye
Rolfe Sedan
Edwin Maxwell
Richard Carle
George Davis
Dorothy Adams
Monya Andre
Nino Bellini
Wilda Bennett
Symona Boniface
Frederika Brown
Emilie Cabanne
Paul Ellis
Fred Farrell
Frank Fletcher
Bess Flowers
Mary Forbes
Jody Gilbert
Lawrence Grant
Jennifer Gray
Winifred Harris
Ray Hendricks
William Irving
Hans Joby
Charles Judels
Armand Kaliz
Ernst Lubitsch
Peggy Moran
Sandra Morgan
Lucille Pinson
Albert Pollet
Frank Reicher
Constantine Romanoff
Alexander Schoenberg
Harry Semels
Tamara Shayne
Florence Shirley
George Sorel
Edwin Stanley
Kay Stewart
George Tobias
Jacques Vanaire
Ellinor Vanderveer
Paul Weigel
Elizabeth Williams
Marek Windheim
Wolfgang Zilzer
