Cary Grant
Eva Marie Saint
James Mason
Jessie Royce Landis
Leo G. Carroll
Josephine Hutchinson
Philip Ober
Martin Landau
Adam Williams
Edward Platt
Robert Ellenstein
Les Tremayne
Philip Coolidge
Patrick McVey
Edward Binns
Ken Lynch
Nora Marlowe
Doreen Lang
John Beradino
Ned Glass
Tol Avery
Malcolm Atterbury
Maudie Prickett
Bess Flowers
Stanley Adams
Andy Albin
Ernest Anderson
Frank Wilcox
Brandon Beach
Steve Carruthers
Taggart Casey
Bill Catching
Walter Coy
Jimmy Cross
Patricia Cutts
Jack Daly
John Damler
Lawrence Dobkin
Tommy Farrell
Jesslyn Fax
Adolph Faylauer
Sally Fraser
Paul Genge
James Gonzalez
Tom Greenway
Robert Haines
Stuart Hall
Alfred Hitchcock
Stuart Holmes
Eugene Jackson
Bobby Johnson
Kenner G. Kemp
Madge Kennedy
Colin Kenny
Carl M. Leviness
Alexander Lockwood
Frank Marlowe
Baynes Barron
Thomas Martin
James McCallion
Maura McGiveney
Carl Milletaire
Hans Moebus
Howard Negley
Monty O'Grady
Ralph Reed
John Roy
Jeffrey Sayre
Scott Seaton
Harry Seymour
Robert Shayne
Jeremy Slate
Olan Soule
Helen Spring
Harvey Stephens
Harry Strang
Arthur Tovey
Dale van Sickel
Lloyd Williams
Robert B. Williams
Paula Winslowe
Wilson Wood
Carleton Young
Dick Johnstone
Bert Stevens
Cosmo Sardo
Don Anderson
Alphonso DuBois
Len Hendry
