Ingrid Bergman
Cary Grant
Claude Rains
Leopoldine Konstantin
Louis Calhern
Alex Minotis
Reinhold Schünzel
Ivan Triesault
Friedrich von Ledebur
Peter von Zerneck
Eberhard Krumschmidt
Moroni Olsen
Ricardo Costa
Charles Mendl
Wally Brown
Fay Baker
Fred Nurney
Charles D. Brown
Eddie Bruce
Ben Erway
Donald Kerr
James Logan
Emmett Vogan
John Vosper
Alan Ward
Paul Bryar
George Lynn
Frank Marlowe
Howard Negley
Virginia Gregg
Bea Benaderet
Aileen Carlyle
Elizabeth Wilson
Almeda Fowler
Leota Lorraine
Sandra Morgan
Lillian West
Richard Clarke
Francis McDonald
Alfred Hitchcock
Frank McLure
Tom Coleman
Alfredo DeSa
Bess Flowers
Art Howard
Jeffrey Sayre
Bert Moorhouse
Gavin Gordon
Harry Hayden
Warren Jackson
Thomas Martin
Tina Menard
Howard M. Mitchell
Antonio Moreno
Garry Owen
Dink Trout
Lenore Ulric
Frank Wilcox
