Jack Nicholson
Louise Fletcher
Danny DeVito
William Redfield
Scatman Crothers
Brad Dourif
Christopher Lloyd
Will Sampson
Dean R. Brooks
Michael Berryman
Sydney Lassick
William Duell
Vincent Schiavelli
Peter Brocco
Alonzo Brown
Mwako Cumbuka
Josip Elic
Ken Kenny
Nathan George
Ted Markland
Louisa Moritz
Mews Small
Delos V. Smith Jr.
Lan Fendors
Mimi Sarkisian
Mel Lambert
Kay Lee
Dwight Marfield
Tin Welch
Aurore Clément
Anjelica Huston
Audrey Landers
Saul Zaentz
Philip Roth
