George C. Scott
Stephen Young
Frank Latimore
Karl Michael Vogler
Karl Malden
Michael Strong
Carey Loftin
Lawrence Dobkin
Albert Dumortier
Morgan Paull
Bill Hickman
Pat Zurica
James Edwards
David Bauer
John Barrie
Richard Münch
Siegfried Rauch
Michael Bates
Paul Stevens
Gerald Flood
Jack Gwillim
Edward Binns
Peter Barkworth
Lionel Murton
David Healy
Sandy McPeak
Douglas Wilmer
John Doucette
Tim Considine
Abraxas Aaran
Clint Ritchie
Alan MacNaughtan
Florencio Amarilla
Brandon Brady
Charles Dennis
Paul Frees
Dolores Judson
Hellmut Lange
Bruce Rhodewalt
Lowell Thomas
Harry Towb
Billy Kearns
