Charlton Heston
Roddy McDowall
Kim Hunter
Maurice Evans
James Whitmore
James Daly
Linda Harrison
Robert Gunner
Lou Wagner
Woodrow Parfrey
Jeff Burton
Buck Kartalian
Norman Burton
Wright King
Paul Lambert
Martin Abrahams
Army Archerd
James Bacon
Erlynn Mary Botelho
Priscilla Boyd
Eldon Burke
David Chow
Billy Curtis
Frank Delfino
Buddy Douglas
Chuck Fisher
William Graeff Jr.
Lars Hensen
Irvin 'Zabo' Koszewski
Norma Jean Kron
Robert Lombardo
Jerry Maren
Cass Martin
Stephan Merjanian
Harry Monty
John Quijada
Smokey Roberds
Dave Rodgers
Jane Ross
George Sasaki
Felix Silla
Emory Souza
Dianne Stanley
Joe Tornatore
