Anthony Perkins
Janet Leigh
Vera Miles
John Gavin
Martin Balsam
John McIntire
Simon Oakland
Frank Albertson
Patricia Hitchcock
Vaughn Taylor
Lurene Tuttle
John Anderson
Mort Mills
Fletcher Allen
Walter Bacon
Kit Carson
Francis De Sales
George Dockstader
George Eldredge
Harper Flaherty
Sam Flint
Virginia Gregg
Alfred Hitchcock
Paul Jasmin
Lee Kass
Frank Killmond
Ted Knight
Pat McCaffrie
Hans Moebus
Jeanette Nolan
Lillian O'Malley
Robert Osborne
Fred Scheiwiller
Helen Wallace
