Harrison Ford
Karen Allen
Paul Freeman
John Rhys-Davies
Ronald Lacey
Wolf Kahler
Anthony Higgins
Denholm Elliott
Alfred Molina
Vic Tablian
Don Fellows
William Hootkins
George Harris
Fred Sorenson
Anthony Chinn
Eddie Tagoe
Bill Reimbold
Patrick Durkin
Matthew Scurfield
Malcolm Weaver
Sonny Caldinez
Pat Roach
Christopher Frederick
Tutte Lemkow
Ishaq Bux
Kiran Shah
Souad Messaoudi
Terry Richards
Steve Hanson
Frank Marshall
Martin Kreidt
John Rees
Tony Vogel
Ted Grossman
Vic Armstrong
Peter Diamond
Nick Gillard
Romo Gorrara
Rick Lester
Rocky Taylor
Reg Harding
Harry Fielder
Billy Horrigan
Terry Leonard
Sergio Mioni
Dennis Muren
Glenn Randall Jr.
Michael Sheard
Frank Welker
