John C. Reilly
Sarah Silverman
Gal Gadot
Taraji P. Henson
Jack McBrayer
Jane Lynch
Alan Tudyk
Alfred Molina
Ed O'Neill
Melissa Villaseñor
Bill Hader
John DiMaggio
Irene Bedard
Kristen Bell
Auli'i Cravalho
Jodi Benson
Jennifer Hale
Kate Higgins
Linda Larkin
Kelly Macdonald
Idina Menzel
Mandy Moore
Paige O'Hara
Pamela Ribon
Anika Noni Rose
Ming-Na Wen
Roger Craig Smith
Maurice LaMarche
Brad Garrett
Anthony Daniels
Tim Allen
Vin Diesel
Sean Giambrone
Jaboukie Young-White
Flula Borg
Ali Wong
Timothy Simons
Glozell Green
Hamish Blake
Rich Moore
Phil Johnston
Colleen Ballinger
Dani Fernandez
Tiffany Herrera
Horatio Sanz
Rebecca Wisocky
Sam Richardson
Katie Lowes
Alex Moffat
June Squibb
Della Saba
Michaela Zee
Jamie Elman
Ana Ortiz
Dianna Agron
Jason Mantzoukas
Raymond S. Persi
Fuschia!
Corey Burton
Jason Hightower
Brian Curless
Ann Barry Colgin
Viveca Paulin
Michael Giacchino
Kevin Deters
Jeremy Milton
Jesse Averna
Nicole Scherzinger
Brittany Kikuchi
Olivier Bénard
Ben McKee
Daniel "Z" Platzman
Dan Reynolds
Wayne Sermon
Mark Rhino Smith
Kent Boyd
Rachel Crow
Jenica Bergere
John Lavelle
Josie Trinidad
Ruth Strother
Elise Aliberti
Maddix Robinson
Bradford Simonsen
Fabienne Rawley
