James Dean
Natalie Wood
Sal Mineo
Ann Doran
Jim Backus
Corey Allen
William Hopper
Rochelle Hudson
Dennis Hopper
Edward Platt
Steffi Sidney
Virginia Brissac
Beverly Long
Ian Wolfe
Frank Mazzola
Robert Foulk
Jack Simmons
Nick Adams
Jack Grinnage
Clifford Morris
Marietta Canty
Almira Sessions
Paul Birch
Dorothy Abbott
Jimmy Baird
Paul Bryar
John Close
Chuck Hamilton
Chuck Hicks
Nelson Leigh
David McMahon
Edward McNally
Peter Miller
Faye Michael Nuell
House Peters Jr.
Nicholas Ray
Gus Schilling
Bert Stevens
Dick Wessel
Robert B. Williams
Ralph Moratz
Skipper Huerta
