Al Pacino
Chris O'Donnell
James Rebhorn
Gabrielle Anwar
Philip Seymour Hoffman
Bradley Whitford
Richard Venture
June Squibb
Frances Conroy
Rochelle Oliver
Tom Riis Farrell
Nicholas Sadler
Todd Louiso
Gene Canfield
Ron Eldard
Sally Murphy
Michael Santoro
Anh Duong
Leonard Gaines
David Lansbury
Baxter Harris
Francie Swift
William Beckwith
Peter Carew
Dan Gifford
Jack Mulcahy
Margaret Eginton
Matt Smith
Joseph Palmas
Michael Simon
Mansoor Najee-ullah
J.T. Cromwell
Paul Stocker
Mike Lisenco
Divina Cook
Russell Gibson
Carlo Giuliano
George Grafas
Luke L. Hansen
Kenneth Kopolovicz
Eric Reid Schroeder
Lucy Smith
Paul Zimmerman
