Liam Neeson
Ben Kingsley
Ralph Fiennes
Caroline Goodall
Jonathan Sagall
Embeth Davidtz
Malgorzata Gebel
Mark Ivanir
Béatrice Macola
Andrzej Seweryn
Friedrich von Thun
Jerzy Nowak
Norbert Weisser
Anna Mucha
Adi Nitzan
Piotr Polk
Rami Heuberger
Ezra Dagan
Elina Löwensohn
Hans-Jörg Assmann
Hans-Michael Rehberg
August Schmölzer
Daniel Del-Ponte
Ludger Pistor
Oliwia Dabrowska
Shmuel Levy
Krzysztof Luft
Harry Nehring
Michael Schneider
Miri Fabian
Albert Misak
Aldona Grochal
Jacek Wójcicki
Beata Paluch
Uri Avrahami
Magdalena Komornicka
Michael Gordon
Beata Deskur
Leopold Kozlowski
Magdalena Dandourian
Shabtai Konorti
Henryk Bista
Tadeusz Bradecki
Wojciech Klata
Ewa Kolasińska
Bettina Kupfer
Grzegorz Kwas
Vili Matula
Stanislaw Koczanowicz
Geno Lechner
Beata Rybotycka
Branko Lustig
Artus-Maria Matthiessen
Eugeniusz Priwieziencew
Michael Z. Hoffmann
Erwin Leder
Jochen Nickel
Andrzej Welminski
Marian Glinka
Grzegorz Damięcki
Stanisław Brejdygant
Olaf Lubaszenko
Haymon Maria Buttinger
Peter Appiano
Jacek Pulanecki
Tomasz Dedek
Slawomir Holland
Martin Semmelrogge
Tadeusz Huk
Alexander Held
Piotr Cyrwus
Joachim Paul Assböck
Osman Ragheb
Maciej Orłoś
Marek Wrona
Zbigniew Kozłowski
Marcin Grzymowicz
Dieter Witting
Agnieszka Krukówna
Anemona Knut
Agnieszka Wagner
Jan Jurewicz
Wiesław Komasa
Maciej Kozłowski
Martin Bergmann
Wilhelm Manske
Peter Flechtner
Sigurd Bemme
Etl Szyc
Lucyna Zabawa
Ruth Farhi
Jerzy Sagan
Dariusz Szymaniak
Dirk Bender
Maciej Winkler
Radosław Krzyżowski
Jacek Lenczowski
Hanna Kossowska
Maja Ostaszewska
Sebastian Skalski
Ryszard Radwański
Piotr Kadlcik
Lech Niebielski
Thomas Morris
Sebastian Konrad
Lidia Wyrobiec-Bank
Ravit Ferera
Agnieszka Korzeniowska
Dominika Bednarczyk
Alicja Kubaszewska
Danny Marcu
Hans Rosner
Edward Linde-Lubaszenko
Alexander Strobele
Georges Kern
Alexander Buczolich
Michael Schiller
Götz Otto
Wolfgang Seidenberg
Hubert Kramar
Razia Israeli
Dorit Seadia
Esti Yerushalmi
Marta Bizoń
Michelle Csitos
Blythe Daniel
Janek Dresner
Maciej Kowalewski
Kamil Krawiec
Zuzanna Lipiec
Maria Peszek
Leopold Pfefferberg
Leopold Rosner
Emilie Schindler
Katarzyna Śmiechowicz
Ben Talar
Katarzyna Tlalka
Paweł Deląg
Jeremy Flynn
