Timothy Spall
Brenda Blethyn
Marianne Jean-Baptiste
Phyllis Logan
Claire Rushbrook
Lee Ross
Lesley Manville
Elizabeth Berrington
Michele Austin
Ron Cook
Trevor Laird
Brian Bovell
Emma Amos
Clare Perkins
Elias Perkins McCook
Jane Mitchell
Janice Acquah
Keylee Jade Flanders
Hannah Davis
Terence Harvey
Kate O'Malley
Joe Tucker
Richard Syms
Grant Masters
Annie Hayes
Jean Ainslie
Lucy Sheen
Frances Ruffelle
Nitin Ganatra
Metin Marlow
Su Elliott
Amanda Crossley
Di Sherlock
David Neilson
Peter Waddington
Peter Stockbridge
Rachel Lewis
Paul Trussell
Jonny Coyne
Denise Orita
Margery Withers
Gordon Winter
Theresa Watson
Peter Wight
Gary McDonald
Alison Steadman
Liz Smith
Sheila Kelley
Angela Curran
Linda Beckett
Phil Davis
Wendy Nottingham
Anthony O'Donnell
Ruth Sheen
Mia Soteriou
Stephen Churchett
