Toshirō Mifune
Takashi Shimura
Yoshio Inaba
Seiji Miyaguchi
Minoru Chiaki
Daisuke Katō
Isao Kimura
Keiko Tsushima
Yukiko Shimazaki
Kamatari Fujiwara
Yoshio Kosugi
Bokuzen Hidari
Yoshio Tsuchiya
Kokuten Kōdō
Eijirō Tōno
Jun Tatara
Atsushi Watanabe
Toranosuke Ogawa
Isao Yamagata
Kichijirô Ueda
Sôjin Kamiyama
Gen Shimizu
Keiji Sakakida
Shinpei Takagi
Shin Ôtomo
Toshio Takahara
Hiroshi Sugi
Hiroshi Hayashi
Sachio Sakai
Sôkichi Maki
Ichirô Chiba
Noriko Sengoku
Noriko Honma
Masanobu Ôkubo
Etsuo Saijo
Minoru Itô
Haruya Sakamoto
Gorô Sakurai
Hideo Shibuya
Kiyoshi Kamoda
Senkichi Ômura
Takashi Narita
Shôichi Hirose
Kôji Uno
Masaaki Tachibana
Kamayuki Tsubono
Taiji Naka
Chindanji Miyagawa
Shigemi Sunagawa
Akira Tani
Akio Kusama
Ryûtarô Amami
Jun Mikami
Haruo Nakajima
Sanpei Mine
Masahide Matsushita
Kaneo Ikeda
Takuzô Kumagaya
Ippei Kawagoe
Jirô Suzukawa
Junpei Natsuki
Kyôichi Kamiyama
Haruo Suzuki
Gorô Amano
Akira Kitchôji
Kôji Iwamoto
Hiroshi Akitsu
Akira Yamada
Kazuo Imai
Eisuke Nakanishi
Toku Ihara
Hideo Ôtsuka
Shû Ôe
Yasuhisa Tsutsumi
Yasumasa Ônishi
Tsuneo Katagiri
Megeru Shimoda
Masayoshi Kawabe
Shigeo Katô
Yoshikazu Kawamata
Takeshi Seki
Haruko Toyama
Tsuruko Mano
Matsue Ono
Tsurue Ichimanji
Masako Ôshiro
Kyôko Ozawa
Michiko Kadono
Toshiko Nakano
Shizuko Azuma
Michiko Kawabe
Yûko Togawa
Yayoko Kitano
Kyoko Mori
Misao Suyama
Toriko Takahara
Takeshi Katō
Tatsuya Nakadai
Ken Utsui
Ren Yamamoto
