Teresa Wright
Joseph Cotten
Macdonald Carey
Henry Travers
Patricia Collinge
Hume Cronyn
Wallace Ford
Edna May Wonacott
Charles Bates
Irving Bacon
Clarence Muse
Janet Shaw
Estelle Jewell
Virginia Brissac
Frances Carson
Earle S. Dewey
Sarah Edwards
Edward Fielding
Vaughan Glaser
Alfred Hitchcock
Shep Houghton
Ruth Lee
Eily Malyon
John McGuire
Shirley Mills
Constance Purdy
Isabel Randolph
Grandon Rhodes
Byron Shores
Edwin Stanley
Minerva Urecal
