Ingrid Bergman
Gregory Peck
Michael Chekhov
Leo G. Carroll
Rhonda Fleming
John Emery
Norman Lloyd
Bill Goodwin
Steven Geray
Donald Curtis
Wallace Ford
Art Baker
Regis Toomey
Paul Harvey
Jean Acker
Irving Bacon
Richard Bartell
Harry Brown
Joel Davis
Jacqueline deWit
Edward Fielding
Alfred Hitchcock
Teddy Infuhr
Victor Kilian
George Meader
Matt Moore
Constance Purdy
Addison Richards
Erskine Sanford
Janet Scott
Clarence Straight
Dave Willock
