Rumi Hiiragi
Miyu Irino
Mari Natsuki
Takashi Naitō
Yasuko Sawaguchi
Tatsuya Gashūin
Ryunosuke Kamiki
Yumi Tamai
Yo Oizumi
Koba Hayashi
Tsunehiko Kamijô
Takehiko Ono
Bunta Sugawara
Shigeru Wakita
Shirō Saitō
Michiko Yamamoto
Keiko Tsukamoto
Akio Nakamura
Shinji Tokumaru
Kaori Yamagata
Yayoi Kazuki
Masahiro Asano
Kazutaka Hayashida
Ikuko Yamamoto
Mina Meguro
Tetsurô Ishibashi
Katsutomo Shîbara
Shinobu Katabuchi
Noriko Kitou
Naoto Kaji
Yoshitaka Sukegawa
Aki Tachikawa
Noriko Yamaya
Katsuhisa Matsuo
Masayuki Kizu
Yôko Ôno
Sachie Azuma
Ken Yasuda
Shigeyuki Totsugi
Mayumi Sako
Sonoko Soeda
Akiko Tomihira
Minako Masuda
Orika Ono
Rina Yamada
Miwa Takachi
Hiromi Takeuchi
Makiko Oku
