Mark Hamill
Harrison Ford
Carrie Fisher
Peter Cushing
Alec Guinness
Anthony Daniels
Kenny Baker
Peter Mayhew
David Prowse
James Earl Jones
Phil Brown
Shelagh Fraser
Jack Purvis
Alex McCrindle
Eddie Byrne
Drewe Henley
Denis Lawson
Garrick Hagon
Jack Klaff
William Hootkins
Angus MacInnes
Jeremy Sinden
Graham Ashley
Don Henderson
Richard LeParmentier
Leslie Schofield
Michael Leader
David Ankrum
Scott Beach
Lightning Bear
Jon Berg
Doug Beswick
Paul Blake
Janice Burchette
Ted Burnett
John Chapman
Gilda Cohen
Tim Condren
Barry Copping
Alfie Curtis
Robert Davies
Maria De Aragon
Robert A. Denham
Frazer Diamond
Peter Diamond
Warwick Diamond
Sadie Eden
Kim Falkinburg
Harry Fielder
Ted Gagliano
Salo Gardner
Steve Gawley
Barry Gnome
Rusty Goffe
Isaac Grand
Reg Harding
Alan Harris
Frank Henson
Christine Hewett
Arthur Howell
Tommy Ilsley
Joe Johnston
Annette Jones
Linda Jones
Joe Kaye
Colin Michael Kitchens
Melissa Kurtz
Tiffany Hillkurtz
Al Lampert
Anthony Lang
Laine Liska
Derek Lyons
Mahjoub
Alf Mangan
Grant McCune
Geoffrey Moon
Mandy Morton
Lorne Peterson
Marcus Powell
Shane Rimmer
Pam Rose
George Roubicek
Erica Simmons
Angela Staines
George Stock
Roy Straite
Peter Sturgeon
Peter Sumner
John Sylla
Tom Sylla
Malcolm Tierney
Phil Tippett
Burnell Tucker
Morgan Upton
Jerry Walter
Hal Wamsley
Larry Ward
Diana Sadley Way
Bill Weston
Fred Wood
Colin Higgins
Ron Tarr
Anthony Forrest
Frances Alfred Basil Tomlin
Ronny Cush
