Dan Aykroyd
John Belushi
James Brown
Cab Calloway
Ray Charles
Aretha Franklin
Steve Cropper
Donald 'Duck' Dunn
Murphy Dunne
Willie Hall
Tom Malone
Lou Marini
Matt Murphy
Alan Rubin
Carrie Fisher
Henry Gibson
John Candy
Kathleen Freeman
John Lee Hooker
Tom Erhart
Gerald Walling
Walter Levine
Alonzo Atkins
Chaka Khan
Armand Cerami
Steven Williams
Kristi Oleson
Gary McLarty
Joe Cuttone
Layne Britton
Toni Fleming
Rosie Shuster
Paul Reubens
Ben Piazza
Gwen Banta
Lari Taylor
Cindy Fisher
Elizabeth Hoy
Tony M. Conde
Eugene J. Anthony
Dean Hill
Jack Orend
Gene Schuldt
Charles Mountain
Frank Oz
John Landis
Gary Houston
Judith Belushi-Pisano
Elmore James
Stephen Bishop
Charles Napier
Steven Spielberg
Curt Clendenin
Twiggy
Steve Lawrence
De'voreaux White
Jeff Morris
Sheilah Wells
Mr. T
