Maxwell Simba
Chiwetel Ejiofor
Aïssa Maïga
Lily Banda
Joseph Marcell
Lemogang Tsipa
Philbert Falakeza
Noma Dumezweni
Khalani Makunje
Robert Agengo
Felix Lemburgo
Raymond Ofula
Rophium Banda
Kelvin Maxwell Ngoma
Edwin Chonde
Fiskan Makawa
Beatus Ble Msamange
Trevor Dominic
Truth Dominic
Rashid Tambala
Latifa Tambala
Fredrick Lukhere
Hestingzi Phiri
Samson Kambalu
Martin Githinji
Melvin Alusa
Amos Chimpokoser
Kelvin Chimpokoser
Eddie Mbugua
George Misinde
Hope Chisano
Aaron Mhone
Noel Mkubwi
James Mhone
Bruno Chitsulo
Hilde Phiri
Lomuthi Jere
Ian Chisekula
Owen Chikanken
Gospel Thawale
Edward Khomamphero
Rodgers Wagawa
Grace Msiska
