Boris Karloff
Colin Clive
Valerie Hobson
Ernest Thesiger
Elsa Lanchester
Gavin Gordon
Douglas Walton
Una O'Connor
E. E. Clive
Lucien Prival
O.P. Heggie
Dwight Frye
Reginald Barlow
Mary Gordon
Anne Darling
Walter Brennan
John Carradine
Ted Billings
Norman Ainsley
Kansas DeForrest
Josephine McKim
Michael Mark
Billy Barty
Robert Adair
Frank Benson
Maurice Black
Mae Bruce
A.S. Byron
D'Arcy Corrigan
Grace Cunard
Jack Curtis
J. Gunnis Davis
Elspeth Dudgeon
Helen Jerome Eddy
Neil Fitzgerald
Brenda Fowler
John George
Helen Gibson
Marilyn Harris
Rollo Lloyd
Torben Meyer
Edwin Mordant
Edward Peil Sr.
Tempe Pigott
Sarah Schwartz
Mary Stewart
Frank Terry
Anders Van Haden
Dorothy Vernon
Lucio Villiegas
Joan Woodbury
Peter Shaw
