Lee Marvin
Ernest Borgnine
Charles Bronson
Jim Brown
John Cassavetes
Richard Jaeckel
George Kennedy
Trini López
Ralph Meeker
Robert Ryan
Telly Savalas
Donald Sutherland
Clint Walker
Robert Webber
Tom Busby
Ben Carruthers
Stuart Cooper
Robert Phillips
Colin Maitland
Al Mancini
George Roubicek
Thick Wilson
Dora Reisser
Michael Anthony
Leo Britt
Alan Chuntz
Gary Files
Judith Furse
Hal Galili
Romo Gorrara
Willoughby Gray
Gerard Heinz
John G. Heller
George Hilsdon
John Hollis
Alf Joint
Juba Kennerley
Hildegard Knef
Ann Lancaster
Richard Marner
Dick Miller
Lionel Murton
Suzanne Owens-Duval
Mike Reid
Terry Richards
Frederick Schiller
Richard Shaw
Warren Stanhope
Hedger Wallace
Theodore Wilhelm
Rocky Taylor
Burnell Tucker
Vicki Woolf
Michael Segal
