Anthony Hopkins
John Hurt
Anne Bancroft
John Gielgud
Wendy Hiller
Freddie Jones
Michael Elphick
Hannah Gordon
Helen Ryan
John Standing
Dexter Fletcher
Lesley Dunlop
Phoebe Nicholls
Pat Gorman
Kenny Baker
Claire Davenport
Orla Pederson
Patsy Smart
Kathleen Byron
William Morgan Sheppard
Frederick Treves
Richard Hunter
Robert Lewis Bush
Roy Evans
Joan Rhodes
Nula Conwell
Tony London
Alfie Curtis
Bernadette Milnes
Carol Harrison
Hugh Manning
Dennis Burgess
Fanny Carby
Gerald Case
David Ryall
Deirdre Costello
Pauline Quirke
Marcus Powell
Lesley Scoble
Eiji Kusuhara
Patricia Hodge
Tommy Wright
Peter Davidson
John Rapley
Janie Kells
Lydia Lisle
Eric Bergren
Christopher De Vore
Harry Fielder
David Lynch
Ralph Morse
Fred Wood
Stromboli
James Cormack
Brenda Kempner
Chris Greener
Gilda Cohen
Teri Scoble
Robert Day
Hugh Spight
Teresa Codling
Marion Betzold
Caroline Haigh
Florenzio Morgado
Victor Kravchenko
Beryl Hicks
Michele Amas
Lucie Alford
Penny Wright
Jack Armstrong
Adam Caine
Tony Clarkin
Dave Cooper
Chick Fowles
Norman Gay
Juba Kennerley
Jay McGrath
Henry Roberts
Kevin Schumm
Ian Selby
Guy Standeven
Reg Thomason
