Ellen Burstyn
Linda Blair
Max von Sydow
Lee J. Cobb
Kitty Winn
Jack MacGowran
Jason Miller
William O'Malley
Barton Heyman
Peter Masterson
Rudolf Schündler
Gina Petrushka
Robert Symonds
Arthur Storch
Thomas Bermingham
Vasiliki Maliaros
Titos Vandis
John Mahon
Wallace Rooney
Ron Faber
Donna Mitchell
Roy Cooper
Robert Gerringer
Mercedes McCambridge
Paul Bateson
Elinore Blair
William Peter Blatty
Mary Boylan
Dick Callinan
Mason Curry
Toni Darnay
Eileen Dietz
Joanne Dusseau
Bernard Eismann
Beatrice Hunter
Yvonne Jones
Don LaBonte
Barton Lane
Ann Miles
John Nicola
Vincent Russell
Gerard F. Yates
