Charlie Chaplin
Georgia Hale
Mack Swain
Tom Murray
Henry Bergman
Malcolm Waite
Harry Arras
James Dime
Charles Force
J. C. Fowler
Ray Grey
William Hackett
Jack Herrick
George Holt
Chris-Pin Martin
Clyde McAtee
Steve Murphy
Frank Rice
Joe Smith
John Wallace
Albert Austin
Heinie Conklin
Al Ernest Garcia
John Rand
Tom Wood
Kay Deslys
Joan Lowell
Betty Morrissey
Inez Gomez
Helen Hayward
Betty Pierce
Jane Sherman
Bess Wade
Mary Williams
Sid Grauman
Lita Grey
Margarita Martín
Barbara Pierce
Tiny Sandford
Larry Steers
