Clint Eastwood
Eli Wallach
Lee Van Cleef
Aldo Giuffrè
Luigi Pistilli
Rada Rassimov
Enzo Petito
Claudio Scarchilli
Livio Lorenzon
Antonio Casale
Sandro Scarchilli
Benito Stefanelli
Angelo Novi
Mario Brega
Al Mulock
Frank Braña
Saturno Cerra
Antonio Casas
Chelo Alonso
Antoñito Ruiz
John Bartha
Tony Di Mitri
Attilio Dottesio
Amerigo Castrighella
Veriano Ginesi
Alberigo Donadeo
Aysanoa Runachagua
Víctor Israel
José Terrón
Román Ariznavarreta
Antonio Molino Rojo
Aldo Sambrell
Romano Puppo
Lorenzo Robledo
Luigi Ciavarro
Axel Darna
Richard Alagich
Fortunato Arena
Silvana Bacci
Joseph Bradley
William Conroy
Antonio Contreras
Domingo Contreras
Luis Fernández de Eribe
Ricardo Palacios
Antonio Palombi
Julio Martínez Piernavieja
Jesús Porras
Enrique Santiago
Franco Tocci
Luis Rodriguez
