Jean-Louis Trintignant
Klaus Kinski
Frank Wolff
Luigi Pistilli
Vonetta McGee
Mario Brega
Carlo D'Angelo
Marisa Merlini
Maria Mizar
Marisa Sally
Raf Baldassarre
Spartaco Conversi
Remo De Angelis
Mirella Pamphili
Fortunato Arena
Giulio Baraghini
Gino Barbacane
Bruno Corazzari
Jacques Dorfmann
Paolo Figlia
Adriana Giuffrè
Rocco Lerro
Loris Loddi
Mauro Mannatrizio
William Mayor
Emilio Messina
Benito Pacifico
Fulvio Pellegrino
Mimmo Poli
Aldo Ralli
Claudio Ruffini
Giulia Salvatori
Pupita Lea Scuderoni
Lorenzo Terzon
Bruno Ukmar
Clemente Ukmar
Franco Ukmar
Giovanni Ukmar
