Toshirō Mifune
Minoru Chiaki
Kamatari Fujiwara
Misa Uehara
Susumu Fujita
Takashi Shimura
Eiko Miyoshi
Toshiko Higuchi
Yû Fujiki
Yoshio Tsuchiya
Kokuten Kōdō
Takeshi Katō
Kōji Mitsui
Toranosuke Ogawa
Kichijirô Ueda
Nakajirô Tomita
Yoshifumi Tajima
Ikio Sawamura
Senkichi Ômura
Sachio Sakai
Makoto Satō
Yoshio Kosugi
Akira Tani
Yutaka Sada
Takeo Oikawa
Tadao Nakamaru
Takuzō Kumagai
Shôichi Hirose
Etsurô Saijô
Masayoshi Nagashima
Fuminori Ôhashi
Shin Ôtomo
Minoru Itô
Haruo Suzuki
Shigekatsu Kanazawa
Kazuo Higata
Haruo Nakajima
Ryû Kuze
Ichirô Chiba
Shigemi Sunagawa
Rinsaku Ogata
Hiroyoshi Yamaguchi
Haruya Sakamoto
