Charlie Chaplin
Jackie Coogan
Edna Purviance
Carl Miller
Albert Austin
Beulah Bains
Nellie Bly Baker
Henry Bergman
Edward Biby
F. Blinn
Kitty Bradbury
Frank Campeau
Bliss Chevalier
Frances Cochran
Elsie Codd
Jack Coogan Sr.
Estelle Cook
Lillian Crane
Dan Dillon
Philip D'Oench
Robert Dunbar
Sadie Gordon
Lita Grey
Jules Hanft
Kathleen Kay
Raymond Lee
Clyde McAtee
John McKinnon
Lew Parker
Esther Ralston
Granville Redmond
Charles Reisner
Edgar Sherrod
S.D. Wilcox
Tom Wilson
