Colin Firth
Geoffrey Rush
Helena Bonham Carter
Guy Pearce
Timothy Spall
Michael Gambon
Jennifer Ehle
Derek Jacobi
Freya Wilson
Ramona Marquez
Richard Dixon
Robert Portal
Eve Best
Paul Trussell
Adrian Scarborough
Andrew Havill
Charles Armstrong
Roger Hammond
Calum Gittins
Dominic Applewhite
Ben Wimsett
David Bamber
Jake Hathaway
Patrick Ryecart
Teresa Gallagher
Simon Chandler
Claire Bloom
Orlando Wells
Tim Downie
Dick Ward
John Albasiny
Danny Emes
Anthony Andrews
John Warnaby
Roger Parrott
Dean Ambridge
Julianne Buescher
James Currie
Graham Curry
Tony Earnshaw
Sean Talo
