Burt Lancaster
Alain Delon
Claudia Cardinale
Paolo Stoppa
Terence Hill
Pierre Clémenti
Rina Morelli
Romolo Valli
Lucilla Morlacchi
Serge Reggiani
Ottavia Piccolo
Maurizio Merli
Giuliano Gemma
Ida Galli
Carlo Valenzano
Brook Fuller
Anna Maria Bottini
Lola Braccini
Marino Masé
Howard Nelson Rubien
Tina Lattanzi
Ernesto Almirante
Marcella Rovena
Rina De Liguoro
Valerio Ruggeri
Giovanni Melisenda
Vittorio Duse
Vanni Materassi
Olimpia Cavalli
Winni Riva
Stelvio Rosi
Ivo Garrani
Leslie French
Gino Santercole
Lou Castel
Michela Roc
Pippo Agusta
