Elijah Wood
Ian McKellen
Liv Tyler
Viggo Mortensen
Sean Astin
Cate Blanchett
John Rhys-Davies
Billy Boyd
Dominic Monaghan
Orlando Bloom
Christopher Lee
Hugo Weaving
Sean Bean
Ian Holm
Andy Serkis
Marton Csokas
Craig Parker
Lawrence Makoare
Alan Howard
Noel Appleby
Sala Baker
Megan Edwards
Michael Elsworth
Mark Ferguson
Brent McIntyre
Peter McKenzie
Sarah McLeod
Ian Mune
Cameron Rhodes
Martyn Sanderson
Harry Sinclair
David Weatherley
Victoria Beynon-Cole
Lee Hartley
Sam La Hood
Chris Streeter
Jonathan Jordan
Semi Kuresa
Clinton Ulyatt
Paul Bryson
Lance Fabian Kemp
Jono Manks
Ben Price
Phil Grieve
Billy Jackson
Katie Jackson
Peter Corrigan
Lori Dungey
Norman Forsey
William Johnson
Elizabeth Moody
Brian Sergent
Thomas McGinty
Kate O'Rourke
Gino Acevedo
Betty Adams
Daniel Andrews
Matt Appleton
Rodney Bane
Timothy Bartlett
Jarl Benzon
Jørn Benzon
Lynden Berrymen
Bob Blackwell
Ben Britton
Jed Brophy
Riley Brophy
Ryan Carey
Norman Cates
Rachel Clentworth
Randall William Cook
Sabine Crossen
Tack Daniel
Peter Daube
Mana Hira Davis
Shane Dawson
Branko Dordevich
Siaosi Fonua
Kester Fordham
Xander Forterie
Ben Fransham
Phoebe Gittins
Warren Green
Winham Hammond
Jonathan Harding
Zo Hartley
Taea Hartwell
Ray Henwood
David Houma
Lani Jackson
Peter Jackson
Gareth Jensen
Ralph Johnson
Stu Johnson
Tim Kano
Sam Kelly
Jeff Kingsford-Brown
Greg Lane
Alan Lee
Sacha Lee
Peter Lyon
Marta Martí
Sharon Maxwell
Richard Maybery
Bret McKenzie
Tim McLachlan
Liz Merton
Dean Morganty
Greg Morrison
Blair Morton
Andrew Munro
David J. Muzzerall
Shane Rangi
Chris Reid
Steve Reinsfield
Larry Rew
Grant Roa
Thomas Robins
Vincent Roxburgh
Chris Ryan
Paul Shapcott
Samuel E. Shore
Mike Stearne
Andrew Stehlin
Ken Stratton
Jo Surgison
John Turner
James Waterhouse-Brown
Tim Wong
Robert Young
