Elijah Wood
Ian McKellen
Liv Tyler
Viggo Mortensen
Sean Astin
Cate Blanchett
John Rhys-Davies
Bernard Hill
Christopher Lee
Billy Boyd
Dominic Monaghan
Orlando Bloom
Hugo Weaving
Miranda Otto
David Wenham
Brad Dourif
Karl Urban
John Noble
Andy Serkis
Ian Holm
Sean Bean
Lawrence Makoare
Marton Csokas
Paul Norell
Alan Howard
Noel Appleby
Ali Astin
David Aston
John Bach
Sadwyn Brophy
Alistair Browning
Richard Edge
Jason Fitch
Phil Grieve
Bruce Hopkins
Ian Hughes
Bret McKenzie
Sarah McLeod
Maisy McLeod-Riera
Bruce Phillips
Shane Rangi
Todd Rippon
Thomas Robins
Harry Sinclair
Bruce Spence
Peter Tait
Joel Tobeck
Stephen Ure
Sala Baker
Robert Pollock
Ross Duncan
Pete Smith
Jed Brophy
Lee Hartley
Billy Jackson
Katie Jackson
Jane Abbott
Gino Acevedo
Aidan Bell
Jarl Benzon
Jørn Benzon
Emma Deakin
Michael Elsworth
Clint Elvy
Zo Hartley
Peter Jackson
Sandro Kopp
Andrew Lesnie
Joseph Mika-Hunt
Henry Mortensen
Craig Parker
Rick Porras
Christian Rivers
Michael Semanick
Howard Shore
John Stephenson
Richard Taylor
Royd Tolkien
