Elijah Wood
Ian McKellen
Liv Tyler
Viggo Mortensen
Sean Astin
Cate Blanchett
John Rhys-Davies
Bernard Hill
Christopher Lee
Billy Boyd
Dominic Monaghan
Orlando Bloom
Hugo Weaving
Miranda Otto
David Wenham
Brad Dourif
Andy Serkis
Sean Bean
Karl Urban
Craig Parker
John Noble
Bruce Allpress
John Bach
Sala Baker
Jed Brophy
Sam Comery
Calum Gittins
Phil Grieve
Bruce Hopkins
Paris Howe Strewe
Nathaniel Lees
John Leigh
Robbie Magasiva
Robyn Malcolm
Bruce Phillips
Robert Pollock
Olivia Tennet
Raymond Trickitt
Stephen Ure
Timothy Lee
Phillip Spencer Harris
Victoria Beynon-Cole
Lee Hartley
Billy Jackson
Katie Jackson
Frazer Anderson
Ben Barrington
Jarl Benzon
Jørn Benzon
Owen Black
Dorothy Anne Bonner
Ben Britton
Riley Brophy
Alistair Browning
Alix Bushnell
Sean Button
Ryan Carey
Rodney Cook
Augie Davis
Mana Hira Davis
Shane Dawson
Karlos Drinkwater
Aron Eastwood
Frank Edwards
Clint Elvy
Alexia Fairbrother
Daniel Falconer
Siaosi Fonua
Kester Fordham
Michael Fowler
Ben Fransham
Frank Goldingham
Winham Hammond
Jonathan Harding
Lucas Hayward
Dan Hennah
Jason Hood
Lani Jackson
Peter Jackson
Gareth Jensen
Sam Kelly
Richard Knowles
Sandro Kopp
Sam La Hood
Don Langridge
Michael Lawrence
Alan Lee
Cameron Lemon
Jono Manks
Brent McIntyre
Dra McKay
Joseph Mika-Hunt
Dean Morganty
Henry Mortensen
Francis Mountjoy
Paul Norell
Barrie M. Osborne
Allan Poppleton
Gareth Reeves
Miranda Rivers
Campbell Rousselle
Matthew Saville
Samuel E. Shore
Allan Smith
Dianne Smith
Marcus Thorne
Greg Tozer
Piripi Waretini
Tim Wong
John Wraight
Kelley Kerr Young
Robert Young
