Henry Fonda
Dana Andrews
Mary Beth Hughes
Anthony Quinn
Jane Darwell
Matt Briggs
Frank Conroy
Marc Lawrence
William Eythe
Paul Hurst
Victor Kilian
Harry Morgan
Rondo Hatton
Harry Davenport
Chris-Pin Martin
Willard Robertson
Ted North
C.E. Anderson
Tex Cooper
Larry Dods
Tex Driscoll
Don House
Frank McGrath
Ben Watson
Stanley Andrews
Hank Bell
William Benedict
Paul E. Burns
George Chandler
Forrest Dillon
Francis Ford
Margaret Hamilton
George Lloyd
Tom London
George Meeker
Frank Orth
George Plues
Dick Rich
Almira Sessions
Leigh Whipper
