Adrien Brody
Thomas Kretschmann
Frank Finlay
Maureen Lipman
Emilia Fox
Ed Stoppard
Julia Rayner
Jessica Kate Meyer
Michal Zebrowski
Wanja Mues
Richard Ridings
Nomi Sharron
Anthony Milner
Lucy Skeaping
Roddy Skeaping
Ben Harlan
Thomas Lawinky
Joachim Paul Assböck
Roy Smiles
Paul Bradley
Daniel Caltagirone
Andrzej Blumenfeld
Zbigniew Zamachowski
Detlev von Wangenheim
Popeck
Zofia Czerwińska
Udo Kroschwald
Uwe Rathsam
Joanna Brodzik
Katarzyna Bargiełowska
Maja Ostaszewska
John Bennett
Cyril Shaps
Wojciech Smolarz
Lech Mackiewicz
Ruth Platt
Peter Rappenglück
Ronan Vibert
Krzysztof Pieczyński
Katarzyna Figura
Valentine Pelka
Andrew Tiernan
Tom Strauss
Cezary Kosiński
Paweł Burczyk
Nina Franoszek
John Keogh
Rafał Mohr
Andrzej Pieczyński
Morgane Polanski
Grzegorz Artman
Adam Bauman
Andrzej Szenajch
Zbigniew Dziduch
Marian Dziędziel
Jerzy Góralczyk
Jarosław Kopaczewski
Patrick Lanagan
Dorota Liliental
Norbert Rakowski
Piotr Siejka
Tomasz Tyndyk
Andrzej Walden
Zbigniew Walerys
Maciej Winkler
Tadeusz Wojtych
Andrzej Zieliński
Paweł Małaszyński
Axel Prahl
Borys Szyc
Rafał Dajbor
Adrian Hood
Ryszard Kluge
Maciej Kowalewski
Pawel Zdun
Jacek Wolszczak
Malgorzata Trybalska
Dawid Szurmiej
Izabella Szolc
