Tim Curry
Susan Sarandon
Barry Bostwick
Richard O'Brien
Patricia Quinn
Nell Campbell
Jonathan Adams
Peter Hinwood
Meat Loaf
Charles Gray
Jeremy Newson
Hilary Farr
Perry Bedden
Christopher Biggins
Gaye Brown
Ishaq Bux
Stephen Calcutt
Hugh Cecil
Imogen Claire
Tony Cowan
Sadie Corre
Fran Fullenwider
Lindsay Ingram
Peggy Ledger
Annabel Leventon
Anthony Milner
Pamela Obermeyer
Tony Then
Kimi Wong
Henry Woolf
Lewis Alexander
Gina Barrie
Hyma Beckley
Ernest Blyth
Rufus Collins
Megan Hanks
Victor Harrington
Mark Johnson
Juba Kennerley
Petra Leah
Frank Lester
John Marquand
Richard Nixon
Koo Stark
