Humphrey Bogart
Walter Huston
Tim Holt
Bruce Bennett
Barton MacLane
Alfonso Bedoya
Arturo Soto Rangel
Manuel Dondé
José Torvay
Margarito Luna
Robert Blake
Guillermo Calles
Roberto Cañedo
Spencer Chan
Jacqueline Dalya
Ralph Dunn
Ernesto Escoto
Pat Flaherty
Martín Garralaga
Jack Holt
John Huston
Francisco Islas
Mario Mancilla
Julian Rivero
Ángela Rodríguez
Jay Silverheels
Ray Spiker
Valdespino
Ildefonso Vega
Harry J. Vejar
Ignacio Villalbazo
Clifton Young
